category_id,category_name,created_at,parent_category_id,level,additional_data
0,Electronics,2024-08-28 16:34:02.022201,,1,"{'description': '中央トレーナー装置持ってる残る。', 'subcategories': ['Smartphones', 'Laptops', 'Tablets', 'Cameras', 'Audio', 'Wearables'], 'display_order': 0, 'icon': 'icon_electronics.png'}"
1,Clothing,2022-12-16 16:34:02.022316,,1,"{'description': 'Stuff southern development sister.', 'subcategories': [""Men's"", ""Women's"", ""Children's"", 'Shoes', 'Accessories', 'Activewear'], 'display_order': 1, 'icon': 'icon_clothing.png'}"
2,Home & Kitchen,2022-09-18 16:34:02.022332,,1,"{'description': 'Musik Wort Ball oben an mit.', 'subcategories': [], 'display_order': 2, 'icon': 'icon_home_kitchen.png'}"
3,Books,2024-11-13 16:34:02.022346,,1,"{'description': 'Odit itaque in tempora odit cupiditate.', 'subcategories': ['Fiction', 'Non-Fiction', ""Children's Books"", 'Textbooks', 'Comics', 'Cookbooks'], 'display_order': 3, 'icon': 'icon_books.png'}"
4,Toys & Games,2024-08-23 16:34:02.022357,,1,"{'description': 'Natus voluptatum dolorem non eveniet.', 'subcategories': [], 'display_order': 4, 'icon': 'icon_toys_games.png'}"
5,Beauty & Personal Care,2024-07-24 16:34:02.022364,,1,"{'description': '当然解决来源查看地区的话没有政府.', 'subcategories': [], 'display_order': 5, 'icon': 'icon_beauty_personal_care.png'}"
6,Sports & Outdoors,2025-03-14 16:34:02.022676,,1,"{'description': 'Sûr veille souvenir.', 'subcategories': [], 'display_order': 6, 'icon': 'icon_sports_outdoors.png'}"
7,Automotive,2022-08-10 16:34:02.022705,,1,"{'description': 'Total not its air.', 'subcategories': [], 'display_order': 7, 'icon': 'icon_automotive.png'}"
8,Health & Household,2023-05-06 16:34:02.022715,,1,"{'description': 'Nihil facere perspiciatis ipsa eaque quos.', 'subcategories': [], 'display_order': 8, 'icon': 'icon_health_household.png'}"
9,Grocery,2023-07-20 16:34:02.022723,,1,"{'description': 'Heraus hören beißen turnen als las ist.', 'subcategories': [], 'display_order': 9, 'icon': 'icon_grocery.png'}"
10,Furniture,2023-04-07 16:34:02.022732,,1,"{'description': '两个部分日期教育.', 'subcategories': ['Living Room', 'Bedroom', 'Dining Room', 'Office', 'Outdoor', ""Children's""], 'display_order': 10, 'icon': 'icon_furniture.png'}"
11,Jewelry,2024-07-08 16:34:02.022739,,1,"{'description': 'Successful since human chance onto.', 'subcategories': [], 'display_order': 11, 'icon': 'icon_jewelry.png'}"
12,Pet Supplies,2022-10-26 16:34:02.022746,,1,"{'description': 'Dominer surtout siècle savoir colère ramener abandonner.', 'subcategories': [], 'display_order': 12, 'icon': 'icon_pet_supplies.png'}"
13,Musical Instruments,2022-05-13 16:34:02.022754,,1,"{'description': '学习虽然浏览内容已经威望类别.', 'subcategories': [], 'display_order': 13, 'icon': 'icon_musical_instruments.png'}"
14,Office Products,2023-05-19 16:34:02.022761,,1,"{'description': '主人近代化する高いダッシュ彼。', 'subcategories': [], 'display_order': 14, 'icon': 'icon_office_products.png'}"
15,Digital Content,2024-05-01 16:34:02.022766,,1,"{'description': 'War heart argue.', 'subcategories': [], 'display_order': 15, 'icon': 'icon_digital_content.png'}"
16,Computers,2023-08-04 16:34:02.022771,,1,"{'description': '系统必须服务文化管理.', 'subcategories': [], 'display_order': 16, 'icon': 'icon_computers.png'}"
17,Tools & Home Improvement,2025-02-19 16:34:02.022776,,1,"{'description': 'Vielleicht los von wo.', 'subcategories': [], 'display_order': 17, 'icon': 'icon_tools_home_improvement.png'}"
18,Garden & Outdoor,2024-08-19 16:34:02.022781,,1,"{'description': '简介他们而且作为不过类型.', 'subcategories': [], 'display_order': 18, 'icon': 'icon_garden_outdoor.png'}"
19,Baby Products,2024-01-19 16:34:02.022786,,1,"{'description': 'Neu hin Bauer wirklich war sehr.', 'subcategories': [], 'display_order': 19, 'icon': 'icon_baby_products.png'}"
