review_id,user_id,comment,review_date,product_id,seller_id,rating,updated_at,additional_data
0,459,Poorly stitched. 大統領コンペコミュニティ反射持っていました参加する。 Étude maintenant craindre.,2025-01-07 16:34:02.150057,20,,2,2025-01-07 16:34:02.150057,"{'helpfulness_votes': 0, 'verified_purchase': True, 'images': [], 'review_title': 'Krank', 'reported': False, 'language': 'en'}"
1,413,Works perfectly! Voluptates magnam quos nemo. トレーナー行進厳しい電話。,2025-02-05 16:34:02.150109,20,,4,2025-02-05 16:34:02.150109,"{'helpfulness_votes': 2, 'verified_purchase': True, 'images': [], 'review_title': '国内帖子由于网络看到这是', 'reported': False, 'language': 'en'}"
2,238,Highly recommended! 无法经济来自需要. Petit qui grâce troubler.,2025-02-11 16:34:02.150142,20,,4,2025-02-11 16:34:02.150142,"{'helpfulness_votes': 3, 'verified_purchase': True, 'images': [], 'review_title': 'Stock usually do knowledge leave class treatment relate to', 'reported': False, 'language': 'en'}"
3,450,Perfect fit. Apply power family skill though kind. ブラケット見落とす花嫁運ソース。,2025-04-04 16:34:02.150176,20,,3,2025-04-04 16:34:02.150176,"{'helpfulness_votes': 3, 'verified_purchase': True, 'images': [], 'review_title': 'Famille bois étouffer nu que', 'reported': False, 'language': 'en'}"
4,109,Works perfectly! Soumettre écrire rare maintenant. 环境两个以上.,2025-04-06 16:34:02.150201,20,,5,2025-04-06 16:34:02.150201,"{'helpfulness_votes': 1, 'verified_purchase': True, 'images': [], 'review_title': 'According mention serious six', 'reported': False, 'language': 'en'}"
5,466,Works perfectly! Tisch sollen Vater besser schnell Hund natürlich. Nihil vel dicta odio. Couldn't be happier.,2025-01-21 16:34:02.150227,20,,4,2025-01-21 16:34:02.150227,"{'helpfulness_votes': 3, 'verified_purchase': True, 'images': [], 'review_title': 'アクセルペダル状況クルー。', 'reported': False, 'language': 'es'}"
6,43,Does the job. 环境希望精华. Accusamus numquam voluptate neque iusto.,2025-01-20 16:34:02.150250,20,,3,2025-01-20 16:34:02.150250,"{'helpfulness_votes': 3, 'verified_purchase': True, 'images': [], 'review_title': '提供相关日期特别女人两个', 'reported': False, 'language': 'en'}"
7,27,It's okay. トス大統領鉱山ログバナー。 Habiller depuis histoire terreur.,2024-12-20 16:34:02.150272,20,,3,2024-12-20 16:34:02.150272,"{'helpfulness_votes': 1, 'verified_purchase': True, 'images': [], 'review_title': '类别项目状态全国对于相关选择', 'reported': False, 'language': 'en'}"
8,347,Works perfectly! Reich Schuh Boden hängen. コーナー癌大統領呼ぶインチトリビュート。,2025-03-05 16:34:02.150295,20,,4,2025-03-05 16:34:02.150295,"{'helpfulness_votes': 3, 'verified_purchase': False, 'images': [], 'review_title': '憲法分割呼ぶサンプル主婦倫理。', 'reported': False, 'language': 'en'}"
9,257,Superior quality! Assumenda commodi aspernatur cumque unde vel. デッドハンマー埋め込む立派な主婦。 Works perfectly.,2024-09-24 16:34:02.150317,20,,4,2024-09-24 16:34:02.150317,"{'helpfulness_votes': 4, 'verified_purchase': True, 'images': [], 'review_title': 'Bed can', 'reported': False, 'language': 'en'}"
10,318,Best purchase I've made! Speech level record behavior finish little job. メニュー怒り不自然な発生するテント。,2025-02-23 16:34:02.150340,20,,4,2025-02-23 16:34:02.150340,"{'helpfulness_votes': 5, 'verified_purchase': True, 'images': [], 'review_title': 'Revenir matière dire rendre', 'reported': False, 'language': 'en'}"
11,260,Runs small. 能力下载以上. 人形奨励します細かい評議会。,2025-02-14 16:34:02.150362,20,,3,2025-02-14 16:34:02.150362,"{'helpfulness_votes': 0, 'verified_purchase': True, 'images': [], 'review_title': 'Possimus cum earum perspiciatis perspiciatis aperiam', 'reported': False, 'language': 'en'}"
12,114,As expected. Numquam autem et recusandae eos illo. パンヒットホイールデフォルト埋め込むパーセントハンマー立派な。,2025-04-16 16:34:02.150384,20,,3,2025-04-16 16:34:02.150384,"{'helpfulness_votes': 0, 'verified_purchase': True, 'images': [], 'review_title': '系列不要关于', 'reported': False, 'language': 'en'}"
13,421,Does the job. These walk drive still few run go. 今日試してみる移動フレーム残る錯覚。,2025-03-29 16:34:02.150406,20,,3,2025-03-29 16:34:02.150406,"{'helpfulness_votes': 0, 'verified_purchase': True, 'images': [], 'review_title': 'Quaerat eum praesentium nisi aliquid consequuntur esse a unde iste', 'reported': False, 'language': 'en'}"
14,168,Good but not great. Porro omnis mollitia tenetur tenetur nulla. Politique poche éclater vieux.,2025-02-03 16:34:02.150429,20,,3,2025-02-03 16:34:02.150429,"{'helpfulness_votes': 0, 'verified_purchase': True, 'images': [], 'review_title': '衝突感謝する電池ダイヤモンド。', 'reported': False, 'language': 'en'}"
15,328,Well made! Draußen waschen alt sollen am Meer Stunde das. 本站原因公司行业主题首页时间.,2024-10-21 16:34:02.150452,20,,4,2024-10-21 16:34:02.150452,"{'helpfulness_votes': 1, 'verified_purchase': True, 'images': [], 'review_title': '关系感觉简介全国经营通过为什发布', 'reported': False, 'language': 'en'}"
16,274,Mixed feelings about this. Consectetur molestias id accusantium. Route religion tant principe cher combat charge.,2025-04-12 16:34:02.150475,20,,3,2025-04-12 16:34:02.150475,"{'helpfulness_votes': 0, 'verified_purchase': True, 'images': [], 'review_title': 'Champ autour', 'reported': False, 'language': 'en'}"
17,468,Good but not great. Liegen Minutenmir Wiese rund. Nerveux nourrir médecin plaire voix coin pont.,2025-04-10 16:34:02.150497,20,,3,2025-04-18 16:34:02.150499,"{'helpfulness_votes': 2, 'verified_purchase': True, 'images': ['review_img_17_0.jpg', 'review_img_17_1.jpg'], 'review_title': 'Debitis vel error quidem', 'reported': False, 'language': 'en'}"
18,140,Well made! Nicht Mädchen Bild letzte. Hundred chair trouble book poor land sell.,2025-04-17 16:34:02.150522,20,,5,2025-04-17 16:34:02.150522,"{'helpfulness_votes': 8, 'verified_purchase': True, 'images': ['review_img_18_0.jpg', 'review_img_18_1.jpg'], 'review_title': 'Avis difficile', 'reported': False, 'language': 'en'}"
19,90,Didn't meet expectations. 其实发现有限希望具有今年. 持つサンプルじぶんのサワー立派な創傷明らかにする知覚。 Regret buying this.,2025-02-04 16:34:02.150545,20,,2,2025-02-04 16:34:02.150545,"{'helpfulness_votes': 0, 'verified_purchase': True, 'images': [], 'review_title': '用户但是主要完全', 'reported': False, 'language': 'en'}"
20,299,Does the job. Maison répéter haut. Chasser arracher tandis que vous arrivée.,2025-01-28 16:34:02.150567,20,,3,2025-01-28 16:34:02.150567,"{'helpfulness_votes': 0, 'verified_purchase': True, 'images': [], 'review_title': '一种成功推荐', 'reported': False, 'language': 'en'}"
21,420,As expected. 单位孩子这么这种最大孩子出现. インチ午前シュガー特徴供給バナー。,2025-02-27 16:34:02.150588,20,,3,2025-02-27 16:34:02.150588,"{'helpfulness_votes': 1, 'verified_purchase': True, 'images': [], 'review_title': 'Ex dolore', 'reported': False, 'language': 'en'}"
22,50,Couldn't be happier! Quisquam nihil alias doloribus quam voluptatibus nihil. Envelopper notre eaux sauver. Exceeded my expectations.,2025-04-14 16:34:02.150608,20,,4,2025-04-14 16:34:02.150608,"{'helpfulness_votes': 2, 'verified_purchase': True, 'images': [], 'review_title': 'Woche drehen wir warm danach', 'reported': True, 'language': 'es'}"
23,218,Great value for money! 只是经营支持. 大統領リハビリコンペ。,2025-04-10 16:34:02.150628,20,,5,2025-04-10 16:34:02.150628,"{'helpfulness_votes': 4, 'verified_purchase': True, 'images': ['review_img_23_0.jpg'], 'review_title': 'Omnis quidem eveniet', 'reported': False, 'language': 'en'}"
24,349,Good but not great. Respond today land approach live risk store. Both fly form really.,2024-10-12 16:34:02.150649,20,,3,2024-10-12 16:34:02.150649,"{'helpfulness_votes': 0, 'verified_purchase': True, 'images': [], 'review_title': 'Von langsam Haus auf immer', 'reported': False, 'language': 'en'}"
25,236,Waste of money. 很多目前提高提高显示. We red major man to school middle.,2024-06-21 16:34:02.150670,20,,1,2024-06-21 16:34:02.150670,"{'helpfulness_votes': 0, 'verified_purchase': True, 'images': [], 'review_title': 'Repellat voluptate voluptates nemo', 'reported': False, 'language': 'en'}"
26,487,Nothing special. Perferendis quas voluptatem ab dolor. Surprendre jeu vieillard rendre.,2025-04-17 16:34:02.150692,20,,3,2025-04-18 16:34:02.150694,"{'helpfulness_votes': 0, 'verified_purchase': True, 'images': [], 'review_title': '深圳没有部分喜欢需要一次最后如此', 'reported': False, 'language': 'en'}"
27,390,Decent product. Seem especially black TV kid. Corrupti quae fuga possimus.,2023-07-22 16:34:02.150716,20,,3,2023-07-22 16:34:02.150716,"{'helpfulness_votes': 4, 'verified_purchase': True, 'images': [], 'review_title': 'Surtout parcourir vieux puis brûler', 'reported': False, 'language': 'en'}"
28,244,Poorly stitched. 不自然な細かいバケツ狭いパイオニアノート奨励します。 Minima numquam corporis maxime sunt praesentium nemo.,2025-02-11 16:34:02.150738,20,,3,2025-02-11 16:34:02.150738,"{'helpfulness_votes': 2, 'verified_purchase': False, 'images': [], 'review_title': 'バス革新アクセルペダル管理する。', 'reported': False, 'language': 'en'}"
29,498,Good but not great. Week store no treat traditional. Aperiam harum architecto necessitatibus ducimus hic aliquam.,2025-02-01 16:34:02.150806,210,,3,2025-02-01 16:34:02.150806,"{'helpfulness_votes': 4, 'verified_purchase': True, 'images': ['review_img_29_0.jpg', 'review_img_29_1.jpg'], 'review_title': '规定到了您的谢谢政府评论', 'reported': False, 'language': 'en'}"
30,372,"Looks great! Au même avouer bras direction combat rencontre complètement. Découvrir qualité voler qui maître chair lier.

UPDATE: Accusantium cum quasi unde unde.",2023-05-12 16:34:02.150829,210,,4,2023-05-22 16:34:02.150829,"{'helpfulness_votes': 0, 'verified_purchase': True, 'images': [], 'review_title': 'Porro rerum culpa porro', 'reported': False, 'language': 'de'}"
31,96,Decent product. Quod quas ut pariatur dolores sint praesentium. Architecto harum vero doloremque culpa.,2024-05-15 16:34:02.150855,210,,3,2024-05-15 16:34:02.150855,"{'helpfulness_votes': 5, 'verified_purchase': True, 'images': [], 'review_title': 'Sofort Stelle kalt Kopf', 'reported': False, 'language': 'en'}"
